,Gender,Age,MaritalStatus,EmploymentStatus,LoanAmount,Tenure,MerchantServiceCharge,ExpectedRevenue,LoanDuration,MonthlyRepaymentAmount,AmountReceived,InterestRate,CurrentOutstandingBalance,DefaultCharge,ItemsPurchased,Target,InflationScore,Primelending,Maxlending
85,F,41.0,M,E,200000,6,2000.0,36420.96,184,39403.49333,86000.09667,0.0,71613.87667,5221.038666666667,appliances,0.0,13.83,11.84,26.61
86,F,43.0,M,SE,300000,6,2000.0,54631.44,184,59105.24,0.0,0.0,236420.96,26597.358,others,0.0,13.83,11.84,26.61
87,F,35.0,S,E,300000,6,2000.0,54631.44,184,59105.24,99000.0,0.0,137420.96,17747.358,others,0.0,13.83,11.84,26.61
88,U,36.1,U,U,1600000,4,2000.0,163136.29,122,440784.0725,836000.0025,0.0,927136.2875,48635.22150000001,others,0.0,13.83,11.84,26.61
89,U,36.1,U,U,3000000,6,2000.0,546314.43,184,591052.405,3049999.995,0.0,496314.435,0.0,others,1.0,13.83,11.84,26.61
90,M,36.0,M,E,100000,4,2000.0,11063.0,122,27765.75,55531.5,0.0,55531.5,1388.2875,others,0.0,13.83,11.84,26.61
91,F,30.0,S,E,700000,4,2000.0,28000.0,122,182000.0,728000.0,0.0,0.0,0.0,others,1.0,13.83,11.84,26.61
92,F,33.0,S,E,750000,6,2000.0,136578.61,184,147763.1017,886578.61,0.0,0.0,7164.460083333333,others,1.0,13.83,11.84,26.61
93,M,35.0,S,E,200000,6,2000.0,36420.96,184,39403.49333,236423.4667,0.0,0.0,1969.523666666667,others,0.0,13.83,11.84,26.61
94,F,48.0,M,E,400000,6,2000.0,72841.92,184,78806.98667,472841.92,0.0,0.0,3940.3493333333336,others,0.0,13.83,11.84,26.61
95,M,35.0,S,E,500000,6,2000.0,91052.4,184,98508.73333,511098.7467,0.0,79953.65333,0.0,others,1.0,13.83,11.84,26.61
96,M,29.0,S,E,600000,6,2000.0,109262.89,184,118210.4817,709262.89,0.0,0.0,5909.572083333334,others,0.0,13.83,11.84,26.61
97,F,27.0,S,E,55000,4,1100.0,6084.65,122,15271.1625,30000.0025,0.0,31084.6475,4622.023125000001,others,0.0,13.83,11.84,26.61
98,F,51.0,S,E,300000,4,2000.0,33188.99,122,83297.2475,333199.9925,0.0,0.0,4164.587375,others,1.0,13.83,11.84,26.61
99,F,32.0,M,E,100000,5,2000.0,15487.4,153,23097.48,46194.96,0.0,69292.44,1154.874,others,0.0,13.83,11.84,26.61
100,F,33.0,S,E,30000,1,600.0,1300.0,31,31300.0,31300.0,0.0,0.0,0.0,others,1.0,13.83,11.84,26.61
101,F,26.0,S,E,150000,6,2000.0,27315.72,184,29552.62,177315.72,0.0,0.0,0.0,others,0.0,13.83,11.84,26.61
102,F,39.0,S,E,150000,4,2000.0,16594.49,122,41648.6225,18000.0,0.0,148594.49,16041.880124999998,others,0.0,13.83,11.84,26.61
103,M,36.1,M,E,600000,6,2000.0,109262.89,184,118210.4817,709262.89,0.0,0.0,0.0,others,1.0,13.83,11.84,26.61
104,M,36.0,M,E,70000,4,1400.0,7744.1,122,19436.025,77744.1,0.0,0.0,0.0,others,1.0,13.83,11.84,26.61
105,F,27.0,S,E,150000,4,2000.0,16594.49,122,41648.6225,132653.6275,0.0,41648.6225,1029.862125,others,0.0,13.83,11.84,26.61
106,F,30.0,S,E,200000,3,2000.0,22125.99,122,74041.99667,250209.9933,0.0,0.0,0.0,others,1.0,13.83,11.84,26.61
107,F,30.0,S,E,100000,5,2000.0,15487.4,153,23097.48,53097.48,0.0,62389.92,1154.874,others,0.0,13.83,11.84,26.61
108,F,25.0,S,E,200000,6,2000.0,36420.96,184,39403.49333,79999.99667,0.0,156420.9633,7880.698666666667,furniture,0.0,13.83,11.84,26.61
109,F,33.0,S,E,50000,4,1000.0,5531.5,122,13882.875,56001.62,0.0,0.0,1376.5745000000002,others,0.0,13.83,11.84,26.61
110,F,30.0,S,E,500000,6,2000.0,91052.4,184,98508.73333,30000.0,0.0,561052.4,19701.74666666667,service,0.0,13.83,11.84,26.61
111,F,39.0,S,E,450000,6,2000.0,81947.16,184,88657.86,88700.0,0.0,443247.16,4430.786,others,0.0,13.83,11.84,26.61
112,F,35.0,S,E,600000,6,2000.0,109262.89,184,118210.4817,274210.4833,0.0,435052.4067,2910.524,furniture,0.0,13.83,11.84,26.61
113,M,29.0,S,E,50000,4,1000.0,5531.5,122,13882.875,55531.5,0.0,0.0,0.0,others,1.0,13.83,11.84,26.61
114,F,33.0,S,SE,500000,6,2000.0,91052.4,184,98508.73333,15000.0,0.0,576052.4,19701.746,others,0.0,13.83,11.84,26.61
115,M,30.0,S,SE,200000,6,2000.0,36420.96,184,39403.49333,106400.0067,0.0,130020.9533,3940.698,furniture,0.0,13.83,11.84,26.61
116,F,38.0,S,SE,300000,6,2000.0,54631.44,184,59105.24,241000.24,0.0,113631.2,660.5120000000001,service,0.0,13.83,11.84,26.61
117,F,39.0,S,E,150000,6,2000.0,27315.72,184,29552.62,69560.0,0.0,107755.72,477.262,others,0.0,13.83,11.84,26.61
118,F,57.0,S,E,100000,4,2000.0,11063.0,122,27765.75,105565.75,0.0,5497.25,0.0,others,0.0,13.83,11.84,26.61
119,M,1.0,S,E,1150000,6,2000.0,209420.53,184,226570.0883,200000.0,0.0,1159420.53,28314.01766666667,service,0.0,13.83,11.84,26.61
120,F,45.0,M,E,250000,4,2000.0,27657.49,122,69414.3725,138828.745,0.0,138828.745,3470.718625,others,0.0,13.83,11.84,26.61
121,F,65.0,S,SE,150000,4,2000.0,16594.49,122,41648.6225,166600.0075,0.0,0.0,0.0,others,1.0,13.83,11.84,26.61
122,M,49.0,U,E,50000,6,1000.0,9105.24,184,9850.873333,59105.24,0.0,0.0,0.0,appliances,1.0,13.83,11.84,26.61
123,F,51.0,M,SE,200000,4,2000.0,22125.99,122,55531.4975,131131.495,0.0,90994.495,0.0,others,0.0,13.83,11.84,26.61
124,F,50.0,M,SE,300000,4,2000.0,33188.99,122,83297.2475,333194.4925,0.0,0.0,0.0,others,1.0,13.83,11.84,26.61
125,F,45.0,M,SE,150000,4,2000.0,16594.49,122,41648.6225,166598.6275,0.0,0.0,0.0,others,1.0,13.83,11.84,26.61
126,F,49.0,M,E,300000,6,2000.0,54631.44,184,59105.24,354631.44,0.0,0.0,0.0,others,0.0,13.83,11.84,26.61
127,F,56.0,M,SE,200000,4,2000.0,22125.99,122,55531.4975,222131.4925,0.0,0.0,0.0,others,1.0,13.83,11.84,26.61
128,M,53.0,M,E,500000,4,2000.0,55314.98,122,138828.745,555314.985,0.0,0.0,6882.874000000001,others,1.0,13.83,11.84,26.61
129,M,35.0,S,E,300000,6,2000.0,54631.44,184,59105.24,354631.44,0.0,0.0,2955.262,others,1.0,13.83,11.84,26.61
130,M,29.0,S,SE,600000,6,2000.0,109262.89,184,118210.4817,509631.4467,0.05,199631.4433,23642.09633333333,others,0.0,13.83,11.84,26.61
131,U,36.1,U,U,3500000,1,2000.0,140000.0,31,3640000.0,3640000.0,0.045,0.0,0.0,others,1.0,13.83,11.84,26.61
132,U,36.1,U,U,137000,4,2000.0,15751.52,122,38187.88,152751.64,0.045,0.0,0.0,others,1.0,13.83,11.84,26.61
133,F,37.0,S,E,80000,5,1600.0,12389.92,153,18477.984,92389.92,0.05,0.0,0.0,phone,1.0,13.83,11.84,26.61
134,M,26.0,S,E,200000,4,2000.0,22994.92,122,55748.73,0.0,0.045,222994.92,11149.746,computers,0.0,13.83,11.84,26.61
135,F,41.0,S,SE,400000,6,2000.0,72841.92,184,78806.98667,472841.92,0.05,0.0,0.0,others,0.0,13.83,11.84,26.61
136,F,49.0,M,SE,300000,4,2000.0,34492.38,122,83623.095,337123.085,0.045,0.0,0.0,others,1.0,13.83,11.84,26.61
137,M,36.0,S,E,500000,6,2000.0,91052.4,184,98508.73333,197008.7333,0.05,394043.6667,0.4365,others,0.0,13.83,11.84,26.61
138,M,33.0,S,SE,500000,4,2000.0,30000.0,122,132500.0,530000.0,0.045,0.0,0.0,others,1.0,13.83,11.84,26.61
139,M,31.0,S,E,100000,4,2000.0,11497.46,122,27874.365,98539.995,0.045,12957.465,1032.437,others,0.0,13.83,11.84,26.61
140,M,44.0,M,SE,300000,4,2000.0,34492.38,122,83623.095,334498.095,0.045,0.0,0.0,others,1.0,13.83,11.84,26.61
141,M,40.0,S,E,500000,4,2000.0,57487.3,122,139371.825,557487.3,0.045,0.0,0.0,others,1.0,13.83,11.84,26.61
142,F,29.0,S,E,115000,4,2000.0,13222.08,122,32055.52,0.0,0.045,128222.08,6411.104,others,0.0,13.83,11.84,26.61
143,M,31.0,S,E,260000,4,2000.0,29893.39,122,72473.3475,289893.39,0.045,0.0,0.0,others,1.0,13.83,11.84,26.61
144,M,27.0,S,SE,200000,6,2000.0,36420.96,184,39403.49333,236420.9667,0.05,0.0,1200.0,others,0.0,13.83,11.84,26.61
145,M,27.0,S,SE,150000,4,2000.0,17246.19,122,41811.5475,167611.5425,0.045,0.0,0.0,others,1.0,13.83,11.84,26.61
146,M,29.0,S,SE,300000,6,2000.0,54631.44,183,59105.24,0.0,0.05,354631.44,11821.048,furniture,0.0,13.83,11.84,26.61
147,M,28.0,M,SE,300000,6,2000.0,54631.44,183,59105.24,0.0,0.05,354631.44,11821.048,furniture,0.0,13.83,11.84,26.61
148,M,53.0,S,SE,500000,6,2000.0,91052.4,183,98508.73333,80000.0,0.05,511052.4,16701.74666666667,others,0.0,13.83,11.84,26.61
149,F,36.1,U,U,1000000,4,2000.0,101960.18,122,275490.045,1101960.18,0.04,0.0,0.0,others,1.0,14.07,11.83,27.79
150,M,34.0,S,E,150000,6,2000.0,27315.72,183,29552.62,177315.72,0.05,0.0,0.0,others,1.0,14.07,11.83,27.79
151,M,32.0,S,SE,300000,4,2000.0,34492.38,122,83623.095,0.0,0.045,334492.38,16724.619000000002,service,0.0,14.07,11.83,27.79
152,F,49.0,M,SE,500000,6,2000.0,91052.4,183,98508.73333,188000.0033,0.05,403052.3967,19701.74666666667,others,0.0,14.07,11.83,27.79
153,F,63.0,M,SE,300000,6,2000.0,54631.44,183,59105.24,0.0,0.05,354631.44,11821.048,service,0.0,14.07,11.83,27.79
154,M,49.0,S,SE,200000,2,2000.0,13599.02,61,106799.51,209000.0,0.045,0.0,0.0,materials,1.0,14.07,11.83,27.79
155,F,41.0,S,SE,500000,6,2000.0,91052.4,183,98508.73333,100000.0033,0.05,491052.3967,19701.74666666667,service,0.0,14.07,11.83,27.79
156,M,47.0,S,SE,300000,6,2000.0,54631.44,183,59105.24,50000.0,0.05,304631.44,11821.048,others,0.0,14.07,11.83,27.79
157,M,49.0,M,E,100000,5,2000.0,15487.4,153,23097.48,52400.0,0.05,63087.4,4619.496,others,0.0,14.07,11.83,27.79
158,F,29.0,S,E,300000,4,2000.0,34492.38,122,83623.095,334492.38,0.045,0.0,0.0,others,1.0,14.07,11.83,27.79
159,F,28.0,S,E,200000,6,2000.0,36420.96,183,39403.49333,237266.0167,0.045,0.0,0.0,others,1.0,14.07,11.83,27.79
160,F,33.0,S,E,200000,4,2000.0,22994.92,122,55748.73,222999.0,0.045,0.0,0.0,others,1.0,14.07,11.83,27.79
161,F,43.0,M,E,482000,4,2000.0,55417.75,122,134354.4375,537417.75,0.045,0.0,0.0,others,1.0,14.07,11.83,27.79
162,M,36.1,M,E,492000,4,2000.0,56567.5,122,137141.875,548567.505,0.045,0.0,0.0,others,1.0,14.07,11.83,27.79
163,F,53.0,M,E,250000,6,2000.0,45526.2,183,49254.36667,296272.2033,0.05,0.0,0.0,others,1.0,14.07,11.83,27.79
164,F,35.0,S,E,155000,6,2000.0,28226.25,183,30537.70833,181650.8317,0.05,1575.418333,3107.5416666666665,others,0.0,14.07,11.83,27.79
165,M,34.0,S,E,500000,6,2000.0,91052.4,183,98508.73333,591600.7367,0.05,0.0,0.0,others,1.0,14.07,11.83,27.79
166,F,35.0,S,E,300000,4,2000.0,34492.38,122,83623.095,335043.095,0.045,0.0,0.0,others,1.0,14.07,11.83,27.79
167,M,43.0,M,E,200000,4,2000.0,22994.92,122,55748.73,223246.19,0.045,0.0,0.0,phone,1.0,14.07,11.83,27.79
168,M,38.0,S,SE,500000,6,2000.0,91052.4,183,98508.73333,0.0,0.05,591052.4,19701.74666666667,others,0.0,14.07,11.83,27.79
169,M,38.0,S,E,300000,6,2000.0,54631.44,183,59105.24,59110.0,0.05,177310.96,2955.024,appliances,0.0,14.07,11.83,27.79
170,F,37.0,M,E,500000,2,2000.0,30000.0,61,265000.0,530000.0,0.045,0.0,0.0,others,1.0,14.07,11.83,27.79
171,M,38.0,M,E,300000,6,2000.0,54631.44,183,59105.24,99105.24,0.05,255526.2,2955.262,others,0.0,14.07,11.83,27.79
172,F,23.0,S,E,150000,6,2000.0,27315.72,183,29552.62,30000.0,0.05,147315.72,5910.524,others,0.0,14.07,11.83,27.79
173,F,35.0,S,E,52000,4,1040.0,5978.68,122,14494.67,0.0,0.045,57978.68,2898.934,others,0.0,14.07,11.83,27.79
174,F,26.0,S,E,500000,6,2000.0,91052.4,183,98508.73333,0.0,0.05,591052.4,19701.74666666667,others,0.0,14.07,11.83,27.79
175,F,30.0,S,E,400000,4,2000.0,45989.84,122,111497.46,446999.38,0.045,0.0,22299.492,others,0.0,14.07,11.83,27.79
176,F,36.0,S,E,500000,6,2000.0,91052.4,183,98508.73333,199100.0067,0.05,391952.3933,1425.8731666666667,others,0.0,14.07,11.83,27.79
177,M,41.0,M,E,150000,4,2000.0,17246.19,122,41811.5475,167299.995,0.045,0.0,0.0,others,1.0,14.07,11.83,27.79
178,M,37.0,S,E,500000,6,2000.0,91052.4,183,98508.73333,0.0,0.05,591052.4,19701.74666666667,others,0.0,14.07,11.83,27.79
179,M,26.0,S,E,500000,6,2000.0,91052.4,183,98508.73333,98500.0,0.05,394043.6667,0.4366666666668607,others,0.0,14.07,11.83,27.79
180,M,30.0,M,E,300000,4,2000.0,34492.38,122,83623.095,65000.0,0.045,269492.38,16724.619000000002,others,0.0,14.07,11.83,27.79
181,F,43.0,M,E,300000,4,2000.0,34492.38,122,83623.095,336949.995,0.045,0.0,0.0,others,1.0,14.07,11.83,27.79
182,M,62.0,M,E,200000,4,2000.0,22994.92,122,55748.73,223100.0,0.045,0.0,0.0,others,1.0,14.07,11.83,27.79
183,M,35.0,M,E,300000,6,2000.0,54631.44,183,59105.24,356420.44,0.05,0.0,0.0,others,0.0,14.07,11.83,27.79
184,M,47.0,M,E,600000,6,2000.0,68117.07,183,111352.845,674310.205,0.045,0.0,0.0,others,1.0,14.07,11.83,27.79
185,F,45.0,M,E,600000,2,2000.0,68117.07,61,334058.535,688295.31,0.045,0.0,0.0,furniture,1.0,14.07,11.83,27.79
186,M,35.0,M,E,200000,6,2000.0,36420.96,183,39403.49333,209063.4567,0.05,27357.50333,0.0,others,1.0,14.07,11.83,27.79
187,M,29.0,S,E,100000,1,2000.0,4500.0,30,104500.0,106000.0,0.045,0.0,0.0,machine,1.0,14.07,11.83,27.79
188,F,36.0,S,E,500000,6,2000.0,91052.4,183,98508.73333,380000.0,0.05,211052.4,850.8733333333338,furniture,0.0,14.07,11.83,27.79
189,M,47.0,M,SE,500000,4,2000.0,57487.3,122,139371.825,557487.3,0.045,0.0,0.0,others,0.0,14.07,11.83,27.79
